                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.94667,                0.59639,                0.88779,                0.96225,                 0.9411,                0.96769,                0.73642,                0.80369,                0.52418,                0.86474,              0.0016119,              0.0016119,              0.0016119
                     52,                0.94954,                0.59758,                0.88497,                0.94521,                0.95345,                0.96497,                0.72943,                0.79608,                0.50546,                0.86158,               0.001604,               0.001604,               0.001604
                     53,                0.91836,                0.55289,                0.87878,                0.96658,                0.92834,                0.96975,                0.74414,                0.83692,                0.50402,                0.87383,              0.0015961,              0.0015961,              0.0015961
                     54,                0.92847,                0.57436,                0.88333,                0.96574,                0.91653,                0.96448,                0.75869,                0.79154,                0.49885,                0.86174,              0.0015882,              0.0015882,              0.0015882
                     55,                0.95477,                0.57651,                0.88055,                0.97451,                0.92937,                0.97304,                0.75747,                0.87544,                0.49277,                0.87037,              0.0015802,              0.0015802,              0.0015802
                     56,                0.89446,                0.55839,                0.86675,                0.97304,                0.92697,                0.97648,                0.73663,                0.85652,                0.49086,                0.86353,              0.0015723,              0.0015723,              0.0015723
                     57,                0.89858,                0.54416,                0.86274,                0.98087,                0.92777,                0.97665,                0.74918,                0.81421,                0.47258,                0.86117,              0.0015644,              0.0015644,              0.0015644
                     58,                0.97108,                 0.5915,                0.89294,                0.97573,                0.92937,                 0.9735,                0.74628,                0.80421,                0.49125,                0.85792,              0.0015565,              0.0015565,              0.0015565
                     59,                0.89117,                0.57208,                0.87172,                0.98135,                0.92925,                0.97182,                0.76055,                 0.7679,                0.46601,                0.85032,              0.0015486,              0.0015486,              0.0015486
                     60,                 0.9251,                0.55211,                0.88009,                 0.9879,                0.91716,                0.96963,                 0.7743,                0.71975,                 0.4422,                0.85089,              0.0015406,              0.0015406,              0.0015406
                     61,                0.84253,                0.52768,                0.85964,                0.97971,                0.93029,                0.97415,                0.78514,                0.72512,                0.41968,                0.84819,              0.0015327,              0.0015327,              0.0015327
                     62,                0.90867,                0.54756,                0.87575,                0.97251,                0.94061,                0.97451,                0.74201,                0.81664,                0.49473,                0.85754,              0.0015248,              0.0015248,              0.0015248
                     63,                0.97632,                0.58464,                 0.8841,                0.98781,                0.91015,                0.97096,                0.74362,                0.83091,                0.51967,                0.86022,              0.0015169,              0.0015169,              0.0015169
                     64,                0.91447,                  0.553,                0.87367,                0.97029,                0.94357,                0.97793,                0.77272,                0.77005,                0.48045,                0.85059,               0.001509,               0.001509,               0.001509
                     65,                0.88221,                0.53492,                0.86199,                0.97228,                0.93258,                0.97139,                0.76254,                0.75004,                0.52162,                0.85125,               0.001501,               0.001501,               0.001501
                     66,                0.88011,                0.51467,                0.85732,                0.97848,                 0.9374,                 0.9752,                0.75918,                0.73688,                0.45669,                 0.8509,              0.0014931,              0.0014931,              0.0014931
                     67,                0.86127,                0.51866,                0.86674,                0.96999,                0.93393,                0.96967,                 0.7732,                0.75215,                0.46197,                0.85676,              0.0014852,              0.0014852,              0.0014852
                     68,                0.87898,                0.51717,                0.86789,                 0.9749,                0.94382,                0.97977,                0.76692,                0.74622,                  0.436,                0.84809,              0.0014773,              0.0014773,              0.0014773
                     69,                0.86843,                0.52855,                  0.867,                0.96112,                0.95345,                0.97562,                0.79478,                0.71844,                  0.417,                0.84811,              0.0014694,              0.0014694,              0.0014694
                     70,                0.86662,                0.51067,                0.85588,                0.96843,                0.95024,                0.97806,                 0.8031,                0.70381,                0.40698,                  0.844,              0.0014614,              0.0014614,              0.0014614
                     71,                 0.8317,                0.48757,                0.84405,                0.98291,                0.93258,                0.97693,                0.79028,                0.68161,                0.40357,                0.84454,              0.0014535,              0.0014535,              0.0014535
                     72,                0.86926,                0.51137,                0.86447,                0.97257,                 0.9374,                0.97625,                 0.7778,                   0.78,                0.45445,                0.85292,              0.0014456,              0.0014456,              0.0014456
                     73,                0.86295,                0.50644,                 0.8672,                0.95768,                0.96148,                0.98079,                0.78708,                0.71563,                0.41728,                0.84234,              0.0014377,              0.0014377,              0.0014377
                     74,                0.82508,                0.48469,                0.85911,                0.97178,                0.93953,                0.97919,                0.79571,                0.66896,                0.39505,                0.84086,              0.0014298,              0.0014298,              0.0014298
                     75,                0.81531,                0.48184,                 0.8532,                0.97985,                0.93676,                 0.9803,                0.78261,                0.70639,                0.40882,                0.84213,              0.0014218,              0.0014218,              0.0014218
                     76,                0.83857,                 0.4808,                0.84696,                 0.9706,                  0.939,                0.98121,                 0.7969,                0.70851,                0.41996,                0.83605,              0.0014139,              0.0014139,              0.0014139
                     77,                0.88415,                 0.4921,                0.85103,                0.96929,                0.94382,                0.97722,                0.77868,                0.74759,                0.41829,                 0.8395,               0.001406,               0.001406,               0.001406
                     78,                0.83467,                 0.4759,                0.84909,                0.97188,                0.94306,                0.98029,                0.80877,                0.64522,                0.37707,                0.83736,              0.0013981,              0.0013981,              0.0013981
                     79,                0.85548,                0.48855,                0.86126,                0.98279,                0.93419,                0.98033,                0.78983,                0.68562,                 0.3911,                0.83995,              0.0013902,              0.0013902,              0.0013902
                     80,                0.84526,                0.48543,                0.85341,                0.97205,                0.94885,                0.97931,                0.77501,                0.70669,                 0.4023,                0.84094,              0.0013822,              0.0013822,              0.0013822
                     81,                0.79499,                0.47325,                0.84146,                 0.9799,                0.94864,                0.97978,                0.79569,                0.69202,                0.39426,                0.84154,              0.0013743,              0.0013743,              0.0013743
                     82,                0.80345,                0.46152,                 0.8499,                0.98138,                0.94061,                 0.9804,                0.80716,                0.65478,                0.37821,                0.83931,              0.0013664,              0.0013664,              0.0013664
                     83,                0.79736,                0.47082,                0.85294,                0.97822,                  0.937,                0.98041,                0.79119,                0.70739,                0.40323,                0.84009,              0.0013585,              0.0013585,              0.0013585
                     84,                0.84018,                0.49496,                0.85744,                0.97328,                0.93547,                0.97865,                0.80595,                0.69305,                0.42089,                0.83759,              0.0013506,              0.0013506,              0.0013506
                     85,                0.83963,                0.48951,                0.84868,                0.98166,                0.94504,                0.98256,                0.79262,                0.70243,                0.40826,                0.84265,              0.0013426,              0.0013426,              0.0013426
                     86,                0.86368,                0.49223,                0.85173,                0.98979,                0.93334,                0.98261,                0.82326,                0.63182,                0.36514,                0.83547,              0.0013347,              0.0013347,              0.0013347
